Total_amount_of_Invoice,Total_amount_of_Bill,Total_Cost_of_Sales,Gross_Profit,Total_Operating_Expenses,Total_Assets,Total_Current_Liabilities,Total_Liabilities,Total_Equity,Total_Liabilities_and_Equity
57317.9,1450.56,0.0,207853.71,1795.76,901875.81,18695.81,18695.81,883180.0,901875.81
250061.98,12770.36,1540.0,537617.57,36043.16,1400516.23,15761.82,15761.82,1384754.41,1400516.23
738446.24,37065.9,88002.2,1003663.11,16548.23,2450141.19,78271.9,78271.9,2371869.29,2450141.19
348608.70666666667,17095.606666666667,29847.399999999998,583044.7966666666,18129.050000000003,1584177.7433333334,37576.51,37576.51,1546601.2333333334,1584177.7433333334
445705.64222222223,22310.622222222224,39796.53333333333,708108.4922222222,23573.48,1811611.721111111,43870.07666666667,43870.07666666667,1767741.6444444444,1811611.721111111
510920.1962962963,25490.709629629633,52548.71111111111,764938.7996296296,19416.92,1948643.5514814816,53239.49555555556,53239.49555555556,1895404.055925926,1948643.5514814816
